ID,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
NC348,3.691339033,2.14263847,1137.353798,0.615061271,3564.1313,1337.847212,4270.012519,44.23641207,7.385699654,23.36899355,0.001629734,0.423342391,0.880326793,28.01634129,0.0137139,1.267539837,1.026769043,0.093470316,0.211350712,0.020475775
Pa762,4.497325466,4.76273809,1514.574467,0.876367864,3111.903404,1228.123501,3882.169793,111.9509731,7.767638204,18.01575897,0.00171402,0.531120305,4.123625907,24.99986952,0.019887628,1.763005899,1.8207633,0.256774021,0.340438279,0.02093922
NC310,4.47172504,2.467270382,1311.901787,0.921053475,3717.823745,1124.377088,4147.107686,76.36617582,8.094277807,21.45577732,0.00124963,0.171115378,2.031187933,25.44118674,0.014740755,2.140818375,1.825101084,0.183750101,0.170067754,0.021406521
DE1,4.229893426,2.404767552,1157.597281,0.552547827,3196.691375,1050.540905,4020.53086,46.37015933,4.908466694,17.70850425,0.001896702,0.301579688,0.918916186,18.65953098,0.014564033,1.368822728,0.871210595,0.141768667,0.240572536,0.021499432
CML238,4.398069761,2.334159139,1519.318511,0.583759324,3812.2755,1369.888032,5213.943941,97.67484485,7.955913443,19.98091592,0.001817473,0.227324273,1.182906984,22.41015943,0.0136835,1.462722003,1.953866537,0.133182469,0.176725313,0.021529493
CML157Q,4.22483096,4.285157927,1378.252629,0.815051766,3284.084684,1069.217381,3574.163444,87.76184654,6.730694099,16.26071042,0.001043456,0.108358589,1.180727372,23.77331955,0.015031451,1.281282494,1.128696792,0.232269566,0.065121803,0.021547979
H95,3.473179005,3.609046253,1318.493021,0.920532869,3023.48441,1046.15621,3507.474122,82.9447551,6.547076804,19.9550491,0.001363654,0.189223823,1.550186881,22.52587052,0.010770857,1.024835016,1.72641798,0.209898636,0.347955592,0.021598777
DE-2,4.677726901,2.428617022,1032.042908,0.665280202,3119.923538,954.2540424,4663.391068,68.79754707,4.21933793,18.18801248,0.002385745,0.184998117,1.543677536,18.80777019,0.010203084,1.607628622,1.356711673,0.158625412,0.183819081,0.021819055
NC346,3.963641321,2.499251725,1108.79284,0.625254252,2780.840911,1157.450292,4090.753347,71.98613508,5.625910238,19.21736022,0.001555643,0.059914127,0.84731654,23.1291141,0.013636531,1.680911242,1.51580843,0.148119012,0.169285458,0.021826035
B68,4.980249779,4.25133472,1350.468212,1.169902755,3729.032053,1355.941199,4585.722079,49.50853356,6.338349474,15.12327212,0.001127747,0.19637483,2.136685491,20.35812302,0.016852649,1.990624929,2.106105367,0.17365276,0.305572001,0.021950105
