plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,PlotID,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
74,82,10PU0805,84,3924,7,13,2,2,84,NA,(B73×Ky21)S5 Sib,Z014E0032,10PU0805,14,220.392,4.777687886,1.352110779,1290.151553,0.564381688,3518.854075,1163.998679,4108.822136,36.90166025,3.87893116,16.98111266,0.001452447,0.099413356,1.954220789,22.66633099,0.017690327,1.161489768,0.550591398,0.036247048,0.219645165,0.049708917
58,112,10PU1498,125,3002,5,10,4,10,446,MO384,IBM,Z017E0094,10PU1498,17,277.345,4.175447158,3.366746487,1128.4832,0.872705958,2895.845549,1002.920677,3988.229541,36.96508484,4.778469867,20.02440157,0.001469898,0.289742275,1.42355517,24.11518803,0.016563267,1.836199179,0.252638103,0.086070001,0.256501505,0.049684175
79,30,10PU1466,35,4196,7,14,1,7,356,MO047,IBM,Z017E0100,10PU1466,17,201.615,4.167417891,1.057956243,1117.546187,0.722767862,3476.749765,992.8157539,4089.988202,46.0762025,4.402050193,17.56068604,0.001558416,0.056123766,1.256050703,18.06267182,0.020673384,1.333459255,0.584940174,0.055634612,0.442388858,0.049560725
55,58,10PU1482,57,2934,5,10,1,7,378,MO272,IBM,Z017E0055,10PU1482,17,211.992,4.896617576,3.665214737,1176.123246,0.924411472,3402.228237,1165.516804,5595.611498,35.53982995,4.849008273,19.51780718,0.001238254,0.105661622,1.402709794,19.81429037,0.020553303,0.813872651,0.368913722,0.100962069,0.480787921,0.049381879
8,85,10PU0677,95,415,1,2,2,8,415,NA,B73,Z027E0040,10PU0677,27,151.43,3.752681844,3.617535206,1277.65645,0.716645968,3084.415894,1289.848804,4965.022262,85.60311707,5.307999401,24.29168144,0.001410847,0.195688294,1.284555073,28.4358314,0.023260847,1.569023697,0.592128458,0.33422839,0.279635327,0.049263152
87,123,10PU1533,145,4627,8,15,3,3,145,MO083,IBM,Z017E0104,10PU1533,17,241.015,5.596410699,1.718588098,1390.683201,0.936914871,3068.460797,1138.926101,3474.832725,35.59575795,5.586289016,26.16148179,0.001379877,0.437744542,1.599952015,26.16474031,0.015340251,1.117063804,0.314696775,0.053674567,0.352266106,0.049209691
86,88,10PU1365,98,4580,8,15,2,2,98,NA,Mo17,Z027E0282,10PU1365,27,276.428,4.016514997,1.177948349,1211.1726,0.599664925,2461.109419,1045.376368,3530.893623,23.20929409,8.658235199,21.74210082,0.001163491,0.152642893,1.702244513,22.82582433,0.011457592,0.967092106,0.313487705,0.021465225,0.353349392,0.049073985
79,38,10PU1364,43,4204,7,14,1,7,364,NA,Mo17,Z027E0282,10PU1364,27,341,4.083847242,0.67294925,1147.108196,0.705266828,2814.73158,899.6627498,3507.385361,26.0484854,6.029625619,21.20102868,0.001357627,0.11842316,1.928456629,20.41125162,0.012650271,0.841539553,0.79685569,0.041401482,0.218938461,0.049072407
56,53,10PU1362,63,2940,5,10,2,8,384,MO271,IBM,Z017E0168,10PU1362,17,171.753,4.418324398,8.911349385,1285.44989,1.062218958,3621.962453,1167.366431,5106.224237,63.28457938,5.821321766,25.04689609,0.001384807,0.242138525,1.627239361,22.10821222,0.023340783,1.439736581,0.901610291,0.13086605,0.359560261,0.048860195
84,238,10PU4115,257,4418,7,14,6,12,578,NA,NC358,Z027E0218,10PU4115,27,204.875,3.645483172,1.793952163,1323.688503,0.878609594,3497.936365,1025.101827,3566.174618,59.37413597,9.00716758,16.24963356,0.001193953,0.141737094,2.89137635,18.41356732,0.019296085,1.575602203,0.809266628,0.081809168,0.093902645,0.048631183
8,83,10PU4121,83,403,1,2,2,8,403,NA,B73,Z027E0040,10PU4121,27,157.073,3.752102146,2.119228506,1151.113219,0.734767232,2731.661771,1212.862,4957.497707,78.26779786,4.944364871,21.06548171,0.001362349,0.215757203,1.116902694,26.56666489,0.021105474,1.271919522,1.103388888,0.365879792,0.220273937,0.04860662
85,71,10PU0683,79,4561,8,15,1,1,79,NA,(B73×Ky21)S5 Sib,Z014E0078,10PU0683,14,202.107,4.995808866,1.353407519,1368.623818,0.532803112,3462.302597,1275.955121,4650.002526,58.3097211,6.817506322,23.9084061,0.001173838,0.218727632,1.794012855,30.58076117,0.016414198,1.322906362,0.363882798,0.08384093,0.422575971,0.048596083
84,274,10PU1504,305,4466,7,14,6,12,626,MO136,IBM,Z017E0125,10PU1504,17,220.827,5.513673734,1.663769837,1216.228175,1.036410501,3247.753044,1234.574503,3753.727535,35.15831118,4.400367638,24.13164258,0.002229423,0.318443808,1.263544717,33.68289728,0.018573718,1.757384017,0.275264729,0.051552199,0.329933881,0.048508801
55,8,10PU4063,6,2883,5,10,1,7,327,NA,N28Ht,Z027E0177,10PU4063,27,148.374,4.683405739,4.743715307,1460.584758,0.794112234,3617.783958,1106.678126,3983.482484,48.08055881,5.912372141,18.60937764,0.001578406,0.679167992,1.297403909,33.57339826,0.026261194,1.995750236,1.158656272,0.132261806,0.222712215,0.048485962
5,259,10PU1415,286,286,1,1,5,5,286,MO010,IBM,Z017E0005,10PU1415,17,305.359,4.32346235,4.190329857,1086.741483,1.016200562,2519.284997,1060.894829,3881.469889,78.4566867,6.340891274,16.18709869,0.000974872,0.109164381,1.485282494,18.39337989,0.012085248,1.453505733,0.255547933,0.308491434,0.145714041,0.048353326
48,271,10PU4204,302,2537,4,8,6,12,623,NA,SC213R,Z027E0242,10PU4204,27,204.846,3.7961966,3.866496204,1161.204542,2.4267912,3162.188591,1123.984191,3501.172791,67.12501275,7.071134478,16.83082581,0.001394537,0.301005378,1.864489525,22.80063086,0.019854431,1.195819127,1.021509103,0.131744931,0.39816461,0.048320286
78,211,10PU1351,234,4074,7,13,6,6,234,MO057,IBM,Z017E0036,10PU1351,17,318.718,4.122482183,0.697944319,1137.313726,0.540953904,3095.524692,1110.138829,3916.564017,34.90661387,6.53930581,21.51637768,0.001415521,0.100090165,1.981729044,20.43252591,0.012561165,0.887672241,0.629597147,0.032540361,0.184117113,0.048160327
80,41,10PU4195,46,4207,7,14,2,8,367,NA,Mo17,Z027E0282,10PU4195,27,291.537,4.003684307,1.10794067,1177.141937,0.567805495,2887.549404,960.443547,3541.864265,21.21613771,5.622507204,20.94183568,0.00142752,0.104201446,1.693731576,20.94992697,0.013592219,1.419906189,1.376878418,0.006739824,0.392167302,0.048131639
7,28,10PU4267,37,357,1,2,1,7,357,NA,Il14H,Z027E0141,10PU4267,27,117.502,5.448213018,6.46285838,1445.418281,1.057418356,4429.247808,1506.345684,7174.652588,95.8595103,5.491976589,20.41999448,0.001770205,0.106335056,2.23912367,26.09302559,0.026887677,2.956933393,2.592658899,0.442611826,0.406606262,0.048081236
