plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,entity_id,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
57,158,5000,176,3053,5,10,3,9,497,NA,NC354,Z027E0216,09IN5000,27,257.793,4.362326316,2.426292057,1199.262412,0.518475294,3270.412581,1243.998034,5204.384297,48.87143826,7.874349643,22.20540387,0.00110322,0.075121877,1.147912046,20.91671548,0.015044348,1.217735748,2.327789209,0.091569759,0.085087659,0.107546788
80,86,5102,96,4257,7,14,2,8,417,NA,Ky21,Z027E0154,09IN5102,27,325.161,3.757635058,0.987981236,1469.967336,0.684884668,2845.056396,959.2039983,4678.918071,60.67762206,4.803756798,17.33704615,0.001039922,0.057036641,2.86723106,22.57147312,0.012781489,0.799475796,1.479845521,0.079082608,0.33390651,0.107385874
87,191,4898,203,4685,8,15,3,3,203,NA,GA209,Z027E0121,09IN4898,27,255.711,6.502551024,1.065085415,1342.179883,0.560347695,2746.907575,1187.067238,4081.514909,39.09051707,6.590111325,27.92786151,0.000892978,0.168921358,1.333303517,38.46231052,0.01449634,1.046975005,1.538949721,0.047900782,0.202073963,0.106058758
38,12,5002,2,1916,4,7,2,2,2,NA,NC262,Z027E0188,09IN5002,27,396.923,4.053480247,2.634252523,1330.003241,0.651692371,2533.650653,1027.111141,3345.796625,59.17609504,4.372332842,21.06833121,0.001152994,0.162217112,2.278844578,15.64336035,0.009308659,0.733310384,1.732809271,0.076718802,0.106496419,0.105885913
62,87,4898,97,3295,6,11,2,2,97,NA,GA209,Z027E0121,09IN4898,27,217.593,4.727971429,2.080357173,1291.620987,0.916782352,3478.527686,1103.897463,4116.802034,34.41542242,5.963040959,27.22086761,0.001078684,0.122165847,1.484671613,35.17840301,0.012972652,1.531998997,1.566657125,0.035597049,0.191381125,0.105373303
62,74,4898,93,3291,6,11,2,2,93,NA,GA209,Z027E0121,09IN4898,27,217.881,4.664944473,1.660700178,1327.64085,0.669006751,3674.645952,1118.992969,4127.316565,37.49489633,6.89228744,29.9431257,0.001015941,0.142290817,1.503389055,39.24223289,0.01318178,2.100245068,1.604856221,0.040917159,0.229852641,0.104524831
85,58,1366,57,4539,8,15,1,1,57,MO038,IBM,Z017E0097,09IN1366,17,109.609,6.139120652,6.199573659,1272.598542,1.031988994,3367.028306,1518.207782,6509.73281,140.7722541,6.885060762,27.9286079,0.002279637,0.232317215,5.589900831,31.38542538,0.030593586,2.437391212,5.054597286,0.125972451,0.166519037,0.102867941
79,40,4945,45,4206,7,14,1,7,366,NA,Mo17,Z027E0282,09IN4945,27,298.193,4.566159577,0.779331869,1248.803545,0.514697236,3178.028481,1086.212071,4584.683848,18.91371209,7.010292598,20.06401202,0.001075113,0.095553534,2.402068067,21.98814305,0.01306106,0.777091836,1.733773401,0.010517409,0.288859228,0.102370552
57,154,1490,164,3041,5,10,3,9,485,MO127,IBM,Z017E0124,09IN1490,17,260.427,4.366987791,1.848888625,1238.699509,0.668456164,3059.199772,984.8020088,3649.297607,44.38265682,4.720118449,26.85772106,0.001157401,0.032050437,1.659333937,22.08782922,0.015163711,1.860179537,2.691728282,0.090348174,0.397749292,0.102133533
13,57,5010,58,688,2,3,1,1,58,NA,NC260,Z027E0187,09IN5010,27,308.429,4.633456159,2.466605047,1382.406464,0.630548458,3579.665692,1086.695187,3469.351719,86.60694538,8.668615967,24.12921278,0.001098367,0.175911083,0.904468495,25.57686094,0.009519569,1.287495274,1.718773056,0.144023551,0.206153397,0.099495036
13,4,5119,10,640,2,3,1,1,10,NA,B76,Z027E0043,09IN5119,27,286.729,4.311046895,2.955503458,1417.691319,0.568519231,3524.904823,1134.126689,4056.743067,35.77909892,4.883871328,22.05731013,0.001052676,0.427634452,2.769391065,18.97364148,0.011812365,0.958382993,1.211419088,0.073816558,0.240369578,0.099490007
